,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
84,721304,Kharagpur_Nimpura_I (West Bengal),Kharagpur_Nimpura_I (West Bengal),Kharagpur_Nimpura_I (West Bengal),Kharagpur,West Bengal,False
85,225202,Ramnagar_Burhwal_D (Uttar Pradesh),Ramnagar_Burhwal_D (Uttar Pradesh),Ramnagar_Burhwal_D (Uttar Pradesh),Ramnagar-UP,Uttar Pradesh,True
86,700119,Kolkata_Dopere_L (West Bengal),Kolkata_Dopere_L (West Bengal),Kolkata_Dopere_L (West Bengal),Kolkata,West Bengal,False
87,585411,Bhalki_DattaNagar_D (Karnataka),Bhalki_DattaNagar_D (Karnataka),Bhalki_DattaNagar_D (Karnataka),Bhalki,Karnataka,True
88,721504,Jhargram_Raghunathpur_DPP (West Bengal),Jhargram_Raghunathpur_DPP (West Bengal),Jhargram_Raghunathpur_DPP (West Bengal),Jhargram,West Bengal,True
89,144701,Nakodar_Ward9_D (Punjab),Nakodar_Ward9_D (Punjab),Nakodar_Ward9_D (Punjab),Nakodar,Punjab,True
90,781328,Tihu_Jalahgaon_D (Assam),Tihu_Jalahgaon_D (Assam),Tihu_Jalahgaon_D (Assam),Tihu,Assam,True
91,505401,KarimNagar_Alugunoor_I (Telangana),KarimNagar_Alugunoor_I (Telangana),KarimNagar_Alugunoor_I (Telangana),Karim Nagar,Telangana,True
92,384570,Vijapur_Anandpurachokdi_D (Gujarat),Vijapur_Anandpurachokdi_D (Gujarat),Vijapur_Anandpurachokdi_D (Gujarat),Vijapur,Gujarat,False
93,233223,Aunrihar_Saidpur_D (Uttar Pradesh),Aunrihar_Saidpur_D (Uttar Pradesh),Aunrihar_Saidpur_D (Uttar Pradesh),Aunrihar,Uttar Pradesh,True
94,785110,Majuli_GaramurChariali_DPP (Assam),Majuli_GaramurChariali_DPP (Assam),Majuli_GaramurChariali_DPP (Assam),Majuli,Assam,False
95,627451,Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli,Tamil Nadu,False
96,470661,Damoh_Chouprakhurd_D (Madhya Pradesh),Damoh_Chouprakhurd_D (Madhya Pradesh),Damoh_Chouprakhurd_D (Madhya Pradesh),Damoh,Madhya Pradesh,True
97,382045,Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad,Gujarat,False
98,577419,Shiralakoppa_Anavatti2_DPP (Karnataka),Shiralakoppa_Anavatti2_DPP (Karnataka),Shiralakoppa_Anavatti2_DPP (Karnataka),Shiralakoppa,Karnataka,True
99,456664,Ujjain_Nehrunagar_D (Madhya Pradesh),Ujjain_Nehrunagar_D (Madhya Pradesh),Ujjain_Nehrunagar_D (Madhya Pradesh),Ujjain,Madhya Pradesh,False
100,132025,Assandh_KaithalRoad_D (Haryana),Assandh_KaithalRoad_D (Haryana),Assandh_KaithalRoad_D (Haryana),Assandh,Haryana,True
